Bike-Number,Rental-Time,Rental-Type,Rental-Location,Rental-Lat,Rental-Lng,Return-Time,Return-Type,Return-Location,Return-Lat,Return-Lng,Duration-Minutes,Movement-Type
17199,2025-07-20 22:13:05,Station (physisch),Jelbi S+U Zoologischer Garten/Jebensstraße (CHA/JE),52.506622,13.33148,2025-07-20 22:13:11,Station (virtuell),Güntzelstraße/Pfalzburger Straße,52.491679,13.321293,0.1,Station:Station
10992,2025-07-20 22:13:05,Station (virtuell),S Attilastraße,52.447,13.360806,2025-07-20 22:13:11,Freistehend,Flexzone,52.44964,13.367198,0.1,Station:Flexzone
15544,2025-07-20 22:13:05,Station (virtuell),S Ostkreuz (Südost),52.50246,13.469894,2025-07-20 22:13:11,Freistehend,Flexzone,52.494409,13.485054,0.1,Station:Flexzone
19706,2025-07-20 22:13:05,Station (physisch),**S Ostkreuz,52.504555,13.467607,2025-07-20 22:13:11,Freistehend,Flexzone,52.510218,13.460524,0.1,Station:Flexzone
14177,2025-07-20 22:13:05,Station (physisch),**Helsingforser Platz (S Warschauer Straße),52.507848,13.449569,2025-07-20 22:13:11,Freistehend,außerhalb Flexzone,52.506964,13.448712,0.1,Station:NoFlexzone
15341,2025-07-20 21:56:15,Station (virtuell),VRAO 73 - Französische Straße/Oberwallstraße (Abstellfläche Mikromobilität),52.51529,13.396663,2025-07-20 22:13:16,Station (virtuell),Adalbertstraße/Köpenicker Straße,52.509747,13.420886,17.0,Station:Station
10618,2025-07-20 22:13:05,Station (virtuell),Berthelsdorfer Straße/Donaustraße,52.478573,13.442067,2025-07-20 22:13:28,Freistehend,Flexzone,52.471738,13.435791,0.4,Station:Flexzone
10703,2025-07-20 21:56:15,Station (virtuell),Steinplatz (West),52.509084,13.325418,2025-07-20 22:13:28,Station (physisch),Jelbi S+U Zoologischer Garten/Jebensstraße (CHA/JE),52.506622,13.33148,17.2,Station:Station
19050,2025-07-20 22:13:05,Station (virtuell),Siegmunds Hof,52.516325,13.335659,2025-07-20 22:13:28,Station (virtuell),Jagowstraße/Tile-Wardenberg-Straße,52.519654,13.331944,0.4,Station:Station
19670,2025-07-20 22:13:55,Station (virtuell), Jelbi Klinikum Am Urban/Dieffenbachstraße (KRE/KD),52.49386,13.41139,2025-07-20 22:14:01,Station (virtuell),Flexzone,52.493409,13.437301,0.1,Station:Station
101172,2025-07-20 21:28:16,Station (physisch),Rudi-Dutschke-Straße,52.507236,13.398167,2025-07-20 22:14:13,Station (virtuell),VRAO 41 - Frankfurter Allee/Hubertusstraße (Abstellfläche-Mikromobilität),52.511957,13.493872,46.0,Station:Station
18131,2025-07-20 22:13:05,Station (virtuell),Jelbi S+U Hauptbahnhof/Heidestraße (MOA/HA),52.52715,13.37076,2025-07-20 22:14:20,Freistehend,Flexzone,52.534244,13.364241,1.2,Station:Flexzone
100182,2025-07-20 22:13:05,Station (virtuell),Jelbi S+U Hauptbahnhof/Heidestraße (MOA/HA),52.52715,13.37076,2025-07-20 22:14:20,Freistehend,Flexzone,52.534302,13.364182,1.2,Station:Flexzone
16394,2025-07-20 21:56:15,Station (virtuell),Beusselstraße/Wiclefstraße,52.531046,13.32878,2025-07-20 22:14:20,Station (virtuell),Bornholmer Straße/Driesener Straße,52.554012,13.406102,18.1,Station:Station
18297,2025-07-20 22:13:05,Station (physisch),S+U Alexanderplatz (Alexa),52.52054,13.414945,2025-07-20 22:29:56,Freistehend,Flexzone,52.494738,13.39889,16.9,Station:Flexzone
17621,2025-07-20 22:13:05,Station (virtuell),Kleiner Tiergarten (Alt-Moabit),52.525211,13.345595,2025-07-20 22:29:56,Freistehend,Flexzone,52.529653,13.362762,16.9,Station:Flexzone
19893,2025-07-20 22:13:05,Station (physisch),S+U Alexanderplatz (Dircksenstraße),52.522096,13.410727,2025-07-20 22:29:56,Freistehend,Flexzone,52.492911,13.379447,16.9,Station:Flexzone
19670,2025-07-20 22:14:13,Station (virtuell), Jelbi Klinikum Am Urban/Dieffenbachstraße (KRE/KD),52.49386,13.41139,2025-07-20 22:29:56,Freistehend,Flexzone,52.493409,13.437301,15.7,Station:Flexzone
10671,2025-07-20 22:13:05,Station (virtuell),EDEKA Berliner Straße,52.486599,13.325477,2025-07-20 22:29:56,Freistehend,Flexzone,52.471102,13.29388,16.9,Station:Flexzone
18288,2025-07-20 22:13:05,Station (physisch),Weinbergspark,52.532496,13.399335,2025-07-20 22:29:56,Freistehend,Flexzone,52.540667,13.419042,16.9,Station:Flexzone
100606,2025-07-20 22:13:05,Station (physisch),U Eberswalder Straße,52.54289,13.4117,2025-07-20 22:29:56,Station (virtuell),U Magdalenenstraße,52.512446,13.488618,16.9,Station:Station
