timestamp,station_name,event_type,duration_seconds,booked_bikes_entry,booked_bikes_exit,available_bikes_before,available_bikes_after,bikes_available_to_rent,bike_racks,free_racks,special_racks
2025-07-20T17:33:23,Jelbi-Punkt Henriette-Herz-Park (TIE/HE),not_booked:bike_taken,0,0,0,5,4,4,10,6,0
2025-07-20T17:33:33,VRAO 89 Malplaquetstraße/Nazarethkirchstraße (Abstellfläche Mikromobilität),booked:not_taken,539,1,0,1,1,1,4,3,0
2025-07-20T17:33:33,Seestraße/Nordufer,not_booked:bike_taken,0,0,0,19,18,18,4,0,0
2025-07-20T17:33:44,Seestraße/Nordufer,not_booked:bike_taken,0,0,0,18,17,17,4,0,0
2025-07-20T17:33:44,Leuthener Straße/Leberstraße,not_booked:bike_taken,0,0,0,3,2,2,4,2,0
2025-07-20T17:33:55,U Schloßstraße,not_booked:bike_taken,0,0,0,2,1,1,4,3,0
2025-07-20T17:34:07,U Rathaus Neukölln (Schönstedtstraße),not_booked:bike_taken,0,0,0,2,1,1,4,2,0
2025-07-20T17:34:18,Goebenstraße/Kulmer Straße,booked:not_taken,935,1,0,1,1,1,4,3,0
2025-07-20T17:34:18,**DB Mobility Hub S Südkreuz (Erika-Gräfin-von-Brockdorff-Platz),not_booked:bike_taken,0,0,0,4,3,3,20,17,0
2025-07-20T17:34:28,Bulgarische Straße/Abteilbrücke,booked:bike_taken,637,1,0,5,4,4,4,0,0
2025-07-20T17:34:39,S Treptower Park,not_booked:bike_taken,0,0,0,2,1,1,5,4,0
2025-07-20T17:35:02,U Berliner Straße,booked:not_taken,132,1,0,1,1,1,4,3,0
2025-07-20T17:35:12,Jelbi Maaßenstraße (SCH/MA),not_booked:bike_taken,0,0,0,3,2,2,6,4,0
2025-07-20T17:35:23,Strandbad Plötzensee,booked:bike_taken,142,1,0,3,2,2,4,2,0
2025-07-20T17:35:23,Kiehlufer/Elsenstraße,booked:not_taken,925,1,0,1,1,1,4,2,0
2025-07-20T17:35:23,Jelbi Sommerbad Neukölln (NEU/SO),not_booked:bike_taken,0,0,0,12,11,11,4,0,0
2025-07-20T17:35:34,S+U Tempelhof (Nordost),booked:bike_taken,482,1,1,3,2,1,5,3,0
2025-07-20T17:35:34,virtuell - Hertzbergstraße/Böhmische Straße,not_booked:bike_taken,0,0,0,2,1,1,4,3,0
2025-07-20T17:35:45,Bulgarische Straße/Abteilbrücke,not_booked:bike_taken,0,0,0,5,4,4,4,0,0
2025-07-20T17:36:17,Jelbi Mühlenstraße/ Straße der Pariser Kommune (FHA/MU),not_booked:bike_taken,0,0,0,2,1,1,12,10,0
2025-07-20T17:36:17,U Schwartzkopffstraße,not_booked:bike_taken,0,0,0,4,3,3,4,1,0
2025-07-20T17:36:17,Sportpromenade (Strandbad Grünau),not_booked:bike_taken,0,0,0,4,2,2,4,1,0
2025-07-20T17:36:28,U Ernst-Reuter-Platz (Süd),not_booked:bike_taken,0,0,0,2,1,1,4,3,0
2025-07-20T17:36:55,Ufnaustraße/Huttenstraße,not_booked:bike_taken,0,0,0,4,3,3,5,2,0
2025-07-20T17:37:06,S Nöldnerplatz (Leopoldstraße),not_booked:bike_taken,0,0,0,2,1,1,4,3,0
2025-07-20T17:37:16,Pichelswerder (Heerstraße),booked:bike_taken,309,1,0,2,1,1,4,3,0
2025-07-20T17:37:27,Krossener Straße/Seumestraße,booked:not_taken,352,1,0,1,1,1,4,3,0
2025-07-20T17:37:27,Weserstraße/Wildenbruchstraße,booked:not_taken,925,1,0,2,2,2,4,2,0
2025-07-20T17:37:38,Simon-Dach-Straße/Frankfurter Allee,not_booked:bike_taken,0,0,0,7,6,6,4,0,0
2025-07-20T17:49:27,S Tiergarten,booked:not_taken,1602,1,0,1,1,1,14,12,0
2025-07-20T17:49:27,M Memhardstraße,booked:not_taken,1613,1,0,1,2,2,20,18,0
2025-07-20T17:49:27,Pannierstraße,booked:not_taken,790,1,0,1,1,1,10,8,0
2025-07-20T17:49:27,EDEKA Fiebig (Kottbuser Damm),booked:not_taken,1283,1,0,1,1,1,4,3,0
2025-07-20T17:49:27,virtuell - Böhmischer Platz (Süd),booked:bike_taken,1504,1,0,3,1,1,4,3,0
2025-07-20T17:49:27,U Osloer Straße (Ost),booked:not_taken,888,1,0,1,1,1,4,3,0
2025-07-20T17:49:27,Bulgarische Straße/Neue Krugallee,booked:not_taken,1526,1,0,2,2,2,4,2,0
2025-07-20T17:49:27,Brachvogelstraße/Blücherstraße,booked:not_taken,1579,1,0,1,1,1,4,3,0
2025-07-20T17:49:27,Friedlander Straße (Oberspreestraße),booked:bike_taken,1181,1,0,3,2,2,4,2,0
2025-07-20T17:49:27,Jelbi Freie Universität/Fabeckstraße (DAH/FA),booked:bike_taken,986,2,0,3,2,2,4,2,0
2025-07-20T17:49:27,Sickingenstraße/Berlichingenstraße,booked:not_taken,1526,1,0,3,3,3,4,1,0
2025-07-20T17:49:27,Jelbi Charité-Campus Virchow-Klinikum/Forum (WED/FO),not_booked:bike_taken,0,0,0,3,1,1,8,7,0
2025-07-20T17:49:27,U Prinzenstraße,not_booked:bike_taken,0,0,0,20,19,19,12,0,0
